time_utc,agent,asset,score,level,title,summary
2026-07-01 21:27:26,unusual_volume,SMCI,62,watch,SMCI unusual volume,Super Micro Computer has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,PLTR,62,watch,PLTR unusual volume,Palantir has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,TSLA,62,watch,TSLA unusual volume,Tesla has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,HOOD,62,watch,HOOD unusual volume,Robinhood has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,COIN,60,watch,COIN unusual volume,Coinbase has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,ARM,54,watch,ARM unusual volume,Arm Holdings has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,MSFT,53,watch,MSFT unusual volume,Microsoft has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,AMD,51,watch,AMD unusual volume,Advanced Micro Devices has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,AVGO,50,watch,AVGO unusual volume,Broadcom has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,MSTR,49,watch,MSTR unusual volume,MicroStrategy has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,SPY,48,watch,SPY unusual volume,S&P 500 ETF has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,QQQ,48,watch,QQQ unusual volume,Nasdaq 100 ETF has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,AAPL,46,watch,AAPL unusual volume,Apple has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,NVDA,46,watch,NVDA unusual volume,Nvidia has abnormal volume or technical movement to monitor.
2026-07-01 21:27:26,unusual_volume,SMH,46,watch,SMH unusual volume,Semiconductor ETF has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,SMCI,62,watch,SMCI unusual volume,Super Micro Computer has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,PLTR,62,watch,PLTR unusual volume,Palantir has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,TSLA,62,watch,TSLA unusual volume,Tesla has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,HOOD,62,watch,HOOD unusual volume,Robinhood has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,COIN,60,watch,COIN unusual volume,Coinbase has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,ARM,54,watch,ARM unusual volume,Arm Holdings has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,MSFT,53,watch,MSFT unusual volume,Microsoft has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,AMD,51,watch,AMD unusual volume,Advanced Micro Devices has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,AVGO,50,watch,AVGO unusual volume,Broadcom has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,MSTR,50,watch,MSTR unusual volume,MicroStrategy has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,SPY,48,watch,SPY unusual volume,S&P 500 ETF has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,QQQ,48,watch,QQQ unusual volume,Nasdaq 100 ETF has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,AAPL,46,watch,AAPL unusual volume,Apple has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,NVDA,46,watch,NVDA unusual volume,Nvidia has abnormal volume or technical movement to monitor.
2026-07-02 07:59:27,unusual_volume,SMH,46,watch,SMH unusual volume,Semiconductor ETF has abnormal volume or technical movement to monitor.
2026-07-02 09:44:42,unusual_volume,SMCI,62,vigilancia,SMCI volumen inusual,Super Micro Computer presenta volumen anormal o movimiento tecnico a vigilar.
2026-07-02 09:44:42,unusual_volume,PLTR,62,vigilancia,PLTR volumen inusual,Palantir presenta volumen anormal o movimiento tecnico a vigilar.
2026-07-02 09:44:42,unusual_volume,TSLA,62,vigilancia,TSLA volumen inusual,Tesla presenta volumen anormal o movimiento tecnico a vigilar.
2026-07-02 09:44:42,unusual_volume,HOOD,62,vigilancia,HOOD volumen inusual,Robinhood presenta volumen anormal o movimiento tecnico a vigilar.
2026-07-02 09:44:42,unusual_volume,COIN,60,vigilancia,COIN volumen inusual,Coinbase presenta volumen anormal o movimiento tecnico a vigilar.
